frame_number,track_id,x1,y1,x2,y2
16,8,1113,128,2126,311
16,9,599,158,1086,377
16,10,902,198,1736,468
16,11,1314,255,2531,592
16,12,1342,180,2673,401
16,13,611,409,1203,915
16,14,778,99,1459,250
16,15,793,53,1499,150
16,16,883,226,1593,524
16,17,537,419,1085,933
16,18,559,422,1045,902
16,20,941,441,1830,974
16,26,845,225,1637,523
17,2,674,162,1235,391
17,3,1040,188,2001,441
17,4,537,434,1043,927
17,5,316,264,570,611
17,6,1156,354,2326,800
17,7,950,87,1781,218
17,8,1123,129,2147,313
17,9,612,158,1108,377
17,10,912,199,1756,470
17,11,1327,255,2543,592
17,12,1348,182,2683,404
17,13,613,408,1209,914
17,14,791,99,1482,251
17,15,806,54,1519,151
17,16,900,226,1611,524
17,17,540,417,1089,931
17,18,552,415,1063,914
17,20,950,439,1818,954
17,26,858,225,1656,524
18,2,687,163,1258,392
18,3,1052,191,2022,444
18,4,537,445,1060,950
18,5,325,264,586,612
18,6,1160,354,2333,800
18,7,959,87,1806,219
18,8,1129,131,2170,316
18,9,624,158,1129,378
18,10,921,201,1774,473
18,11,1340,255,2554,591
18,12,1354,185,2693,407
18,13,618,407,1214,911
18,14,802,100,1504,252
18,15,818,54,1539,151
18,16,918,227,1628,525
18,17,543,416,1092,930
18,18,573,414,1084,905
18,20,950,438,1837,960
18,26,871,226,1676,526
18,32,909,480,1843,1006
19,2,696,163,1278,393
19,3,1059,192,2042,446
19,4,543,448,1076,959
19,5,328,264,597,612
19,6,1161,353,2341,802
19,7,968,87,1831,220
19,8,1136,134,2196,321
19,9,633,159,1150,379
19,10,928,202,1787,474
19,11,1353,255,2566,591
19,12,1360,187,2703,410
19,13,621,407,1220,910
19,14,811,101,1526,254
19,15,830,55,1561,152
19,16,935,227,1646,525
19,17,546,414,1095,928
19,18,576,414,1093,903
19,20,952,438,1851,963
19,26,881,226,1695,528
19,32,916,453,1853,981
20,2,706,163,1300,394
20,3,1066,192,2056,447
20,4,526,451,1066,968
20,5,331,265,607,615
20,6,1166,353,2349,802
20,7,974,88,1855,223
20,8,1151,134,2215,323
20,9,642,159,1171,381
20,10,934,202,1801,474
20,11,1366,255,2577,590
20,12,1113,137,2257,327
20,13,625,408,1228,910
20,14,822,101,1549,256
20,15,839,56,1580,153
20,16,952,227,1663,526
20,17,638,432,1188,936
20,18,580,414,1106,905
20,20,951,438,1858,964
20,26,889,227,1712,530
20,32,920,446,1858,974
21,2,715,163,1320,395
21,3,1072,192,2074,448
21,4,514,455,1061,979
21,5,337,267,621,617
21,6,1166,353,2352,802
21,7,981,90,1877,226
21,8,1166,135,2234,324
21,9,651,160,1191,382
21,10,939,202,1819,477
21,11,1379,255,2589,589
21,12,1119,138,2269,329
21,13,629,408,1235,910
21,14,834,102,1571,256
21,15,844,55,1605,154
21,16,970,228,1681,526
21,17,650,432,1200,935
21,18,585,414,1118,906
21,20,947,438,1860,964
21,26,898,228,1730,532
21,32,924,438,1863,967
22,2,724,163,1340,396
